PARAMETERNAMN,UNIK_PARAMETERKOD,PROV_KOD_ORIGINAL,RAPPORT_KOD_LABB,LABB,UTFOR_LABB,ORGAN,MATVARDETEXT,MATVARDETAL,MATVARDETAL_ANM,ENHET,MATV_STD,RAPPORTERINGSGRANS_LOQ,DETEKTIONSGRANS_LOD,MATOSAKERHET,MATOSAKERHET_ENHET,MATOSAKERHET_TYP,MATVARDESPAR,DATUM_REG,PROV_LAGR,PROV_BERED,PROVKARL,ANALYS_DAT,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,KOMMENTAR_MATVARDE
Ålder (medelvärde),CH12/241,C1967/08001-08010,C1967/08001-08010 NRM ,NRM,,HELKROPP,,0,"",ar,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,6'-Hexabromdifenyleter (PBDE154)",CH07/139,C1967/08001-08010,C1967/08001-08010 NSL POOL 820427-436,NSL,,,,0.333,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,5'-Hexabromdifenyleter (PBDE153)",CH07/137,C1967/08001-08010,C1967/08001-08010 NSL POOL 820427-436,NSL,,,,0.35,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08001,C1967/08001 NRM ,NRM,,HELKROPP,,1180,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08001,C1967/08001 TRC ZT55,TRC,,MUSKEL,,370,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08001,C1967/08001 NSL 820427,NSL,,MUSKEL,,0.87,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08002,C1967/08002 NRM ,NRM,,HELKROPP,,845,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08002,C1967/08002 TRC ZT56,TRC,,MUSKEL,,410,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08002,C1967/08002 NSL 820428,NSL,,MUSKEL,,0.76,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08003,C1967/08003 NRM ,NRM,,HELKROPP,,1075,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08003,C1967/08003 TRC ZT54,TRC,,MUSKEL,,355,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1967/08003,C1967/08003 NSL 820429,NSL,,MUSKEL,,0.72,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1967/08004,C1967/08004 NRM ,NRM,,HELKROPP,,1790,"",g,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1967/08004,C1967/08004 TRC ZT53,TRC,,MUSKEL,,460,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
